time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,31519,0.9961,0.99916,0.99412,0.99566,0.9961,0.99916,0.99412,0.99566,0.99859,0.99938,0.99433,0.99632
2024-01-02T22:00:00.000000Z,33881,0.99553,0.99644,0.99373,0.9948,0.99553,0.99644,0.99373,0.9948,0.9962,0.99685,0.9943,0.9955
2024-01-03T22:00:00.000000Z,31937,0.99476,0.99726,0.99424,0.99564,0.99476,0.99726,0.99424,0.99564,0.99536,0.9975,0.99491,0.99624
2024-01-04T22:00:00.000000Z,39447,0.99554,0.99832,0.99298,0.99389,0.99554,0.99832,0.99298,0.99389,0.99621,0.99914,0.99474,0.99601
2024-01-07T22:00:00.000000Z,30849,0.99398,0.996,0.99202,0.99454,0.99398,0.996,0.99202,0.99454,0.99603,0.99627,0.99224,0.9952
2024-01-08T22:00:00.000000Z,29739,0.99462,0.99629,0.99164,0.99273,0.99462,0.99629,0.99164,0.99273,0.99533,0.99649,0.99188,0.99513
2024-01-09T22:00:00.000000Z,26979,0.9927,0.99609,0.99234,0.99503,0.9927,0.99609,0.99234,0.99503,0.99507,0.99628,0.99388,0.99573
2024-01-10T22:00:00.000000Z,40265,0.99495,0.99554,0.99186,0.99336,0.99495,0.99554,0.99186,0.99336,0.99566,0.99705,0.99209,0.99406
2024-01-11T22:00:00.000000Z,34035,0.99327,0.99678,0.99256,0.99256,0.99327,0.99678,0.99256,0.99256,0.99401,0.997,0.99307,0.99383
2024-01-14T22:00:00.000000Z,16124,0.99264,0.99484,0.99161,0.99234,0.99264,0.99484,0.99161,0.99234,0.9941,0.99544,0.99182,0.99386
2024-01-15T22:00:00.000000Z,33354,0.99226,0.99673,0.99127,0.99451,0.99226,0.99673,0.99127,0.99451,0.99378,0.99699,0.99151,0.99514
2024-01-16T22:00:00.000000Z,33961,0.99453,0.99661,0.99329,0.99541,0.99453,0.99661,0.99329,0.99541,0.9952,0.99683,0.99357,0.99606
2024-01-17T22:00:00.000000Z,32567,0.99517,0.99673,0.99378,0.99623,0.99517,0.99673,0.99378,0.99623,0.99767,0.99767,0.99437,0.99687
2024-01-18T22:00:00.000000Z,31131,0.99605,0.99798,0.99429,0.99708,0.99605,0.99798,0.99429,0.99708,0.99807,0.99969,0.99449,0.9994
2024-01-21T22:00:00.000000Z,26669,0.99707,0.99977,0.99533,0.99539,0.99707,0.99977,0.99533,0.99539,0.99939,0.99999,0.99561,0.99604
2024-01-22T22:00:00.000000Z,27241,0.99445,0.99633,0.99346,0.99595,0.99445,0.99633,0.99346,0.99595,0.99695,0.99695,0.99368,0.9966
2024-01-23T22:00:00.000000Z,31179,0.9957,0.9965,0.98982,0.99014,0.9957,0.9965,0.98982,0.99014,0.99703,0.99734,0.99038,0.99077
2024-01-24T22:00:00.000000Z,30112,0.99029,0.99492,0.98839,0.99417,0.99029,0.99492,0.98839,0.99417,0.9909,0.99522,0.9903,0.99486
2024-01-25T22:00:00.000000Z,27283,0.99343,0.9984,0.99343,0.9959,0.99343,0.9984,0.99343,0.9959,0.99529,0.99866,0.99435,0.99838
2024-01-28T22:00:00.000000Z,24409,0.99568,0.99929,0.99548,0.99851,0.99568,0.99929,0.99548,0.99851,0.99807,0.99955,0.99647,0.99933
2024-01-29T22:00:00.000000Z,25739,0.99847,0.99983,0.99646,0.99925,0.99847,0.99983,0.99646,0.99925,0.9993,1.00035,0.99729,0.99997
2024-01-30T22:00:00.000000Z,44694,0.99924,1.00047,0.99684,0.99707,0.99924,1.00047,0.99684,0.99707,0.99996,1.00147,0.99706,0.99772
2024-01-31T22:00:00.000000Z,36360,0.99712,1.00011,0.99575,0.99836,0.99712,1.00011,0.99575,0.99836,0.99778,1.00031,0.99595,0.99904
2024-02-01T22:00:00.000000Z,33509,0.99791,0.99941,0.9955,0.99588,0.99791,0.99941,0.9955,0.99588,0.99967,0.99993,0.996,0.99818
2024-02-04T22:00:00.000000Z,29194,0.99641,0.99819,0.99413,0.99443,0.99641,0.99819,0.99413,0.99443,0.99891,0.99891,0.99483,0.99505
2024-02-05T22:00:00.000000Z,30918,0.99459,0.99721,0.99369,0.9958,0.99459,0.99721,0.99369,0.9958,0.99519,0.9974,0.99389,0.99642
2024-02-06T22:00:00.000000Z,28244,0.99556,0.99798,0.99515,0.99761,0.99556,0.99798,0.99515,0.99761,0.99799,0.9982,0.99578,0.9982
